vehicle_id,model_name,drivetrain_type,chart_type,cost_component,value
BEV001,Jac N75,BEV,no_infra,Asset Cost,181795.0
BEV001,Jac N75,BEV,no_infra,Residual Value (PV),-16804.162267129595
BEV001,Jac N75,BEV,no_infra,Fuel (NPV),23885.575104832387
BEV001,Jac N75,BEV,no_infra,Maintenance (NPV),25673.717200081337
BEV001,Jac N75,BEV,no_infra,Insurance (PV),84879.65360722186
BEV001,Jac N75,BEV,no_infra,Taxes & Fees (PV),12072.916698931931
BEV001,Jac N75,BEV,no_infra,Payload/Charging Penalties (NPV),25066.874162206124
BEV001,Jac N75,BEV,no_infra,Final TCO (NPV),336569.57450614404
BEV001,Jac N75,BEV,with_infra,Asset Cost,181795.0
BEV001,Jac N75,BEV,with_infra,Residual Value (PV),-16804.162267129595
BEV001,Jac N75,BEV,with_infra,Fuel (NPV),23885.575104832387
BEV001,Jac N75,BEV,with_infra,Maintenance (NPV),25673.717200081337
BEV001,Jac N75,BEV,with_infra,Insurance (PV),84879.65360722186
BEV001,Jac N75,BEV,with_infra,Taxes & Fees (PV),12072.916698931931
BEV001,Jac N75,BEV,with_infra,Payload/Charging Penalties (NPV),25066.874162206124
BEV001,Jac N75,BEV,with_infra,Infrastructure,300000.0
BEV001,Jac N75,BEV,with_infra,Final TCO (NPV),636569.574506144
BEV002,Hyundai Mighty Electric,BEV,no_infra,Asset Cost,154500.0
BEV002,Hyundai Mighty Electric,BEV,no_infra,Residual Value (PV),-14281.157734104474
BEV002,Hyundai Mighty Electric,BEV,no_infra,Fuel (NPV),23885.575104832387
BEV002,Hyundai Mighty Electric,BEV,no_infra,Maintenance (NPV),25673.717200081337
BEV002,Hyundai Mighty Electric,BEV,no_infra,Insurance (PV),75252.52077680935
BEV002,Hyundai Mighty Electric,BEV,no_infra,Taxes & Fees (PV),11277.916698931931
BEV002,Hyundai Mighty Electric,BEV,no_infra,Payload/Charging Penalties (NPV),0.0
BEV002,Hyundai Mighty Electric,BEV,no_infra,Final TCO (NPV),276308.5720465506
BEV002,Hyundai Mighty Electric,BEV,with_infra,Asset Cost,154500.0
BEV002,Hyundai Mighty Electric,BEV,with_infra,Residual Value (PV),-14281.157734104474
BEV002,Hyundai Mighty Electric,BEV,with_infra,Fuel (NPV),23885.575104832387
BEV002,Hyundai Mighty Electric,BEV,with_infra,Maintenance (NPV),25673.717200081337
BEV002,Hyundai Mighty Electric,BEV,with_infra,Insurance (PV),75252.52077680935
BEV002,Hyundai Mighty Electric,BEV,with_infra,Taxes & Fees (PV),11277.916698931931
BEV002,Hyundai Mighty Electric,BEV,with_infra,Payload/Charging Penalties (NPV),0.0
BEV002,Hyundai Mighty Electric,BEV,with_infra,Infrastructure,300000.0
BEV002,Hyundai Mighty Electric,BEV,with_infra,Final TCO (NPV),576308.5720465505
BEV003,Jac N90,BEV,no_infra,Asset Cost,154500.0
BEV003,Jac N90,BEV,no_infra,Residual Value (PV),-14281.157734104474
BEV003,Jac N90,BEV,no_infra,Fuel (NPV),30354.585029057835
BEV003,Jac N90,BEV,no_infra,Maintenance (NPV),25673.717200081337
BEV003,Jac N90,BEV,no_infra,Insurance (PV),75252.52077680935
BEV003,Jac N90,BEV,no_infra,Taxes & Fees (PV),11277.916698931931
BEV003,Jac N90,BEV,no_infra,Payload/Charging Penalties (NPV),50133.74832441225
BEV003,Jac N90,BEV,no_infra,Final TCO (NPV),332911.3302951883
BEV003,Jac N90,BEV,with_infra,Asset Cost,154500.0
BEV003,Jac N90,BEV,with_infra,Residual Value (PV),-14281.157734104474
BEV003,Jac N90,BEV,with_infra,Fuel (NPV),30354.585029057835
BEV003,Jac N90,BEV,with_infra,Maintenance (NPV),25673.717200081337
BEV003,Jac N90,BEV,with_infra,Insurance (PV),75252.52077680935
BEV003,Jac N90,BEV,with_infra,Taxes & Fees (PV),11277.916698931931
BEV003,Jac N90,BEV,with_infra,Payload/Charging Penalties (NPV),50133.74832441225
BEV003,Jac N90,BEV,with_infra,Infrastructure,300000.0
BEV003,Jac N90,BEV,with_infra,Final TCO (NPV),632911.3302951882
